version,source,arch,installer_name,path,filename,internal_name,file_size,file_date,md5,sha1,sha256,dist_hash_status,dist_gpg_status,discrepancy_note,url
7.6.6,website,x86,npp.7.6.6.Installer.exe,,npp.7.6.6.Installer.exe,,0,,,,,MISSING (404/HTML),N/A,Download failed: 404 Not Found,https://notepad-plus-plus.org/repository/7.x/7.6.6/npp.7.6.6.Installer.exe
7.6.6,website,x86,npp.7.6.6.Installer.exe.sig,,npp.7.6.6.Installer.exe.sig,,0,,,,,MISSING (404/HTML),N/A,Download failed: 404 Not Found,https://notepad-plus-plus.org/repository/7.x/7.6.6/npp.7.6.6.Installer.exe.sig
7.6.6,website,x86,npp.7.6.6.bin.zip,,npp.7.6.6.bin.zip,,0,,,,,MISSING (404/HTML),N/A,Download failed: 404 Not Found,https://notepad-plus-plus.org/repository/7.x/7.6.6/npp.7.6.6.bin.zip
7.6.6,website,x86,npp.7.6.6.bin.zip.sig,,npp.7.6.6.bin.zip.sig,,0,,,,,MISSING (404/HTML),N/A,Download failed: 404 Not Found,https://notepad-plus-plus.org/repository/7.x/7.6.6/npp.7.6.6.bin.zip.sig
7.6.6,website,x86,npp.7.6.6.bin.7z,,npp.7.6.6.bin.7z,,0,,,,,MISSING (404/HTML),N/A,Download failed: 404 Not Found,https://notepad-plus-plus.org/repository/7.x/7.6.6/npp.7.6.6.bin.7z
7.6.6,website,x86,npp.7.6.6.bin.7z.sig,,npp.7.6.6.bin.7z.sig,,0,,,,,MISSING (404/HTML),N/A,Download failed: 404 Not Found,https://notepad-plus-plus.org/repository/7.x/7.6.6/npp.7.6.6.bin.7z.sig
7.6.6,website,x86,npp.7.6.6.bin.minimalist.7z,,npp.7.6.6.bin.minimalist.7z,,0,,,,,MISSING (404/HTML),N/A,Download failed: 404 Not Found,https://notepad-plus-plus.org/repository/7.x/7.6.6/npp.7.6.6.bin.minimalist.7z
7.6.6,website,x86,npp.7.6.6.bin.minimalist.7z.sig,,npp.7.6.6.bin.minimalist.7z.sig,,0,,,,,MISSING (404/HTML),N/A,Download failed: 404 Not Found,https://notepad-plus-plus.org/repository/7.x/7.6.6/npp.7.6.6.bin.minimalist.7z.sig
7.6.6,website,x64,npp.7.6.6.Installer.x64.exe,,npp.7.6.6.Installer.x64.exe,,0,,,,,MISSING (404/HTML),N/A,Download failed: 404 Not Found,https://notepad-plus-plus.org/repository/7.x/7.6.6/npp.7.6.6.Installer.x64.exe
7.6.6,website,x64,npp.7.6.6.Installer.x64.exe.sig,,npp.7.6.6.Installer.x64.exe.sig,,0,,,,,MISSING (404/HTML),N/A,Download failed: 404 Not Found,https://notepad-plus-plus.org/repository/7.x/7.6.6/npp.7.6.6.Installer.x64.exe.sig
7.6.6,website,x64,npp.7.6.6.bin.x64.zip,,npp.7.6.6.bin.x64.zip,,0,,,,,MISSING (404/HTML),N/A,Download failed: 404 Not Found,https://notepad-plus-plus.org/repository/7.x/7.6.6/npp.7.6.6.bin.x64.zip
