version,source,arch,installer_name,path,filename,internal_name,file_size,file_date,md5,sha1,sha256,dist_hash_status,dist_gpg_status,discrepancy_note,url
7.3.3,website,x86,npp.7.3.3.Installer.exe,,npp.7.3.3.Installer.exe,,0,,,,,MISSING (404/HTML),N/A,Download failed: 404 Not Found,https://notepad-plus-plus.org/repository/7.x/7.3.3/npp.7.3.3.Installer.exe
7.3.3,website,x86,npp.7.3.3.bin.zip,,npp.7.3.3.bin.zip,,0,,,,,MISSING (404/HTML),N/A,Download failed: 404 Not Found,https://notepad-plus-plus.org/repository/7.x/7.3.3/npp.7.3.3.bin.zip
7.3.3,website,x86,npp.7.3.3.bin.7z,,npp.7.3.3.bin.7z,,0,,,,,MISSING (404/HTML),N/A,Download failed: 404 Not Found,https://notepad-plus-plus.org/repository/7.x/7.3.3/npp.7.3.3.bin.7z
7.3.3,website,x86,npp.7.3.3.bin.minimalist.7z,,npp.7.3.3.bin.minimalist.7z,,0,,,,,MISSING (404/HTML),N/A,Download failed: 404 Not Found,https://notepad-plus-plus.org/repository/7.x/7.3.3/npp.7.3.3.bin.minimalist.7z
7.3.3,website,x64,npp.7.3.3.Installer.x64.exe,,npp.7.3.3.Installer.x64.exe,,0,,,,,MISSING (404/HTML),N/A,Download failed: 404 Not Found,https://notepad-plus-plus.org/repository/7.x/7.3.3/npp.7.3.3.Installer.x64.exe
7.3.3,website,x64,npp.7.3.3.bin.x64.zip,,npp.7.3.3.bin.x64.zip,,0,,,,,MISSING (404/HTML),N/A,Download failed: 404 Not Found,https://notepad-plus-plus.org/repository/7.x/7.3.3/npp.7.3.3.bin.x64.zip
7.3.3,website,x64,npp.7.3.3.bin.x64.7z,,npp.7.3.3.bin.x64.7z,,0,,,,,MISSING (404/HTML),N/A,Download failed: 404 Not Found,https://notepad-plus-plus.org/repository/7.x/7.3.3/npp.7.3.3.bin.x64.7z
7.3.3,website,x64,npp.7.3.3.bin.minimalist.x64.7z,,npp.7.3.3.bin.minimalist.x64.7z,,0,,,,,MISSING (404/HTML),N/A,Download failed: 404 Not Found,https://notepad-plus-plus.org/repository/7.x/7.3.3/npp.7.3.3.bin.minimalist.x64.7z
